gene,source,term_id,term_name
TP53,GO:BP,GO:0042149,cellular response to glucose starvation
TP53,GO:BP,GO:0042149,cellular response to glucose starvation
TP53,GO:BP,GO:0042771,intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator
TP53,GO:BP,GO:0042771,intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator
TP53,GO:BP,GO:0042771,intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator
TP53,GO:BP,GO:0042771,intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator
TP53,GO:BP,GO:0042771,intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator
TP53,GO:BP,GO:0042981,regulation of apoptotic process
TP53,GO:BP,GO:0042981,regulation of apoptotic process
TP53,GO:BP,GO:0043065,positive regulation of apoptotic process
TP53,GO:BP,GO:0043065,positive regulation of apoptotic process
TP53,GO:BP,GO:0043066,negative regulation of apoptotic process
TP53,GO:BP,GO:0043066,negative regulation of apoptotic process
TP53,GO:BP,GO:0043066,negative regulation of apoptotic process
TP53,GO:BP,GO:0043066,negative regulation of apoptotic process
TP53,GO:BP,GO:0043153,entrainment of circadian clock by photoperiod
TP53,GO:BP,GO:0043153,entrainment of circadian clock by photoperiod
TP53,GO:BP,GO:0043504,mitochondrial DNA repair
TP53,GO:BP,GO:0043516,"regulation of DNA damage response, signal transduction by p53 class mediator"
TP53,GO:BP,GO:0043523,regulation of neuron apoptotic process
TP53,GO:BP,GO:0043525,positive regulation of neuron apoptotic process
TP53,GO:BP,GO:0045815,transcription initiation-coupled chromatin remodeling
TP53,GO:BP,GO:0045861,negative regulation of proteolysis
TP53,GO:BP,GO:0045892,negative regulation of DNA-templated transcription
TP53,GO:BP,GO:0045892,negative regulation of DNA-templated transcription
TP53,GO:BP,GO:0045892,negative regulation of DNA-templated transcription
TP53,GO:BP,GO:0045892,negative regulation of DNA-templated transcription
TP53,GO:BP,GO:0045893,positive regulation of DNA-templated transcription
TP53,GO:BP,GO:0045893,positive regulation of DNA-templated transcription
TP53,GO:BP,GO:0045893,positive regulation of DNA-templated transcription
TP53,GO:BP,GO:0045893,positive regulation of DNA-templated transcription
TP53,GO:BP,GO:0045899,positive regulation of RNA polymerase II transcription preinitiation complex assembly
TP53,GO:BP,GO:0045930,negative regulation of mitotic cell cycle
TP53,GO:BP,GO:0045944,positive regulation of transcription by RNA polymerase II
TP53,GO:BP,GO:0045944,positive regulation of transcription by RNA polymerase II
TP53,GO:BP,GO:0045944,positive regulation of transcription by RNA polymerase II
TP53,GO:BP,GO:0045944,positive regulation of transcription by RNA polymerase II
TP53,GO:BP,GO:0045944,positive regulation of transcription by RNA polymerase II
TP53,GO:BP,GO:0045944,positive regulation of transcription by RNA polymerase II
TP53,GO:BP,GO:0045944,positive regulation of transcription by RNA polymerase II
TP53,GO:BP,GO:0046677,response to antibiotic
TP53,GO:BP,GO:0048144,fibroblast proliferation
TP53,GO:BP,GO:0048147,negative regulation of fibroblast proliferation
TP53,GO:BP,GO:0048147,negative regulation of fibroblast proliferation
TP53,GO:BP,GO:0048511,rhythmic process
TP53,GO:BP,GO:0048512,circadian behavior
TP53,GO:BP,GO:0048512,circadian behavior
TP53,GO:BP,GO:0048539,bone marrow development
TP53,GO:BP,GO:0048568,embryonic organ development
TP53,GO:BP,GO:0050821,protein stabilization
TP53,GO:BP,GO:0051053,negative regulation of DNA metabolic process
TP53,GO:BP,GO:0051097,negative regulation of helicase activity
TP53,GO:BP,GO:0051262,protein tetramerization
TP53,GO:BP,GO:0051276,chromosome organization
TP53,GO:BP,GO:0051402,neuron apoptotic process
TP53,GO:BP,GO:0051726,regulation of cell cycle
TP53,GO:BP,GO:0051726,regulation of cell cycle
TP53,GO:BP,GO:0051726,regulation of cell cycle
TP53,GO:BP,GO:0051726,regulation of cell cycle
TP53,GO:BP,GO:0051726,regulation of cell cycle
TP53,GO:BP,GO:0060218,hematopoietic stem cell differentiation
TP53,GO:BP,GO:0060253,negative regulation of glial cell proliferation
TP53,GO:BP,GO:0060333,type II interferon-mediated signaling pathway
TP53,GO:BP,GO:0060411,cardiac septum morphogenesis
TP53,GO:BP,GO:0062100,positive regulation of programmed necrotic cell death
TP53,GO:BP,GO:0065003,protein-containing complex assembly
TP53,GO:BP,GO:0070059,intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress
TP53,GO:BP,GO:0070242,thymocyte apoptotic process
TP53,GO:BP,GO:0070243,regulation of thymocyte apoptotic process
TP53,GO:BP,GO:0070245,positive regulation of thymocyte apoptotic process
TP53,GO:BP,GO:0070245,positive regulation of thymocyte apoptotic process
TP53,GO:BP,GO:0070266,necroptotic process
TP53,GO:BP,GO:0071456,cellular response to hypoxia
TP53,GO:BP,GO:0071456,cellular response to hypoxia
TP53,GO:BP,GO:0071466,cellular response to xenobiotic stimulus
TP53,GO:BP,GO:0071479,cellular response to ionizing radiation
TP53,GO:BP,GO:0071479,cellular response to ionizing radiation
TP53,GO:BP,GO:0071480,cellular response to gamma radiation
TP53,GO:BP,GO:0071480,cellular response to gamma radiation
TP53,GO:BP,GO:0071494,cellular response to UV-C
TP53,GO:BP,GO:0072089,stem cell proliferation
TP53,GO:BP,GO:0072331,signal transduction by p53 class mediator
TP53,GO:BP,GO:0072331,signal transduction by p53 class mediator
TP53,GO:BP,GO:0072332,intrinsic apoptotic signaling pathway by p53 class mediator
TP53,GO:BP,GO:0072332,intrinsic apoptotic signaling pathway by p53 class mediator
TP53,GO:BP,GO:0072593,reactive oxygen species metabolic process
TP53,GO:BP,GO:0072717,cellular response to actinomycin D
TP53,GO:BP,GO:0090200,positive regulation of release of cytochrome c from mitochondria
TP53,GO:BP,GO:0090398,cellular senescence
TP53,GO:BP,GO:0090399,replicative senescence
TP53,GO:BP,GO:0090403,oxidative stress-induced premature senescence
TP53,GO:BP,GO:0097190,apoptotic signaling pathway
TP53,GO:BP,GO:0097193,intrinsic apoptotic signaling pathway
TP53,GO:BP,GO:0097252,oligodendrocyte apoptotic process
TP53,GO:BP,GO:1900119,positive regulation of execution phase of apoptosis
TP53,GO:BP,GO:1901525,negative regulation of mitophagy
TP53,GO:BP,GO:1902108,regulation of mitochondrial membrane permeability involved in apoptotic process
TP53,GO:BP,GO:1902253,regulation of intrinsic apoptotic signaling pathway by p53 class mediator
TP53,GO:BP,GO:1902749,regulation of cell cycle G2/M phase transition
TP53,GO:BP,GO:1902895,positive regulation of miRNA transcription
TP53,GO:BP,GO:1902895,positive regulation of miRNA transcription
TP53,GO:BP,GO:1902895,positive regulation of miRNA transcription
TP53,GO:BP,GO:1902895,positive regulation of miRNA transcription
TP53,GO:BP,GO:1903451,negative regulation of G1 to G0 transition
TP53,GO:BP,GO:1903451,negative regulation of G1 to G0 transition
TP53,GO:BP,GO:1903799,negative regulation of miRNA processing
TP53,GO:BP,GO:1904024,negative regulation of glucose catabolic process to lactate via pyruvate
TP53,GO:BP,GO:1905856,negative regulation of pentose-phosphate shunt
TP53,GO:BP,GO:1990144,intrinsic apoptotic signaling pathway in response to hypoxia
TP53,GO:BP,GO:2000269,regulation of fibroblast apoptotic process
TP53,GO:BP,GO:2000378,negative regulation of reactive oxygen species metabolic process
TP53,GO:BP,GO:2000379,positive regulation of reactive oxygen species metabolic process
TP53,GO:BP,GO:2000647,negative regulation of stem cell proliferation
TP53,GO:BP,GO:2000772,regulation of cellular senescence
TP53,GO:BP,GO:2000774,positive regulation of cellular senescence
TP53,GO:BP,GO:2000774,positive regulation of cellular senescence
TP53,GO:BP,GO:2000774,positive regulation of cellular senescence
TP53,GO:BP,GO:2001242,regulation of intrinsic apoptotic signaling pathway
TP53,GO:BP,GO:2001244,positive regulation of intrinsic apoptotic signaling pathway
TP53,GO:BP,GO:2001244,positive regulation of intrinsic apoptotic signaling pathway
TP53,GO:MF,GO:0000976,transcription cis-regulatory region binding
TP53,GO:MF,GO:0000976,transcription cis-regulatory region binding
TP53,GO:MF,GO:0000977,RNA polymerase II transcription regulatory region sequence-specific DNA binding
TP53,GO:MF,GO:0000978,RNA polymerase II cis-regulatory region sequence-specific DNA binding
TP53,GO:MF,GO:0000978,RNA polymerase II cis-regulatory region sequence-specific DNA binding
TP53,GO:MF,GO:0000978,RNA polymerase II cis-regulatory region sequence-specific DNA binding
TP53,GO:MF,GO:0000978,RNA polymerase II cis-regulatory region sequence-specific DNA binding
TP53,GO:MF,GO:0000981,"DNA-binding transcription factor activity, RNA polymerase II-specific"
TP53,GO:MF,GO:0000981,"DNA-binding transcription factor activity, RNA polymerase II-specific"
TP53,GO:MF,GO:0000981,"DNA-binding transcription factor activity, RNA polymerase II-specific"
TP53,GO:MF,GO:0000987,cis-regulatory region sequence-specific DNA binding
TP53,GO:MF,GO:0001046,core promoter sequence-specific DNA binding
TP53,GO:MF,GO:0001094,TFIID-class transcription factor complex binding
TP53,GO:MF,GO:0001223,transcription coactivator binding
TP53,GO:MF,GO:0001227,"DNA-binding transcription repressor activity, RNA polymerase II-specific"
TP53,GO:MF,GO:0001228,"DNA-binding transcription activator activity, RNA polymerase II-specific"
TP53,GO:MF,GO:0001228,"DNA-binding transcription activator activity, RNA polymerase II-specific"
TP53,GO:MF,GO:0002020,protease binding
TP53,GO:MF,GO:0002039,p53 binding
TP53,GO:MF,GO:0003677,DNA binding
TP53,GO:MF,GO:0003677,DNA binding
TP53,GO:MF,GO:0003677,DNA binding
TP53,GO:MF,GO:0003682,chromatin binding
TP53,GO:MF,GO:0003682,chromatin binding
TP53,GO:MF,GO:0003700,DNA-binding transcription factor activity
TP53,GO:MF,GO:0003700,DNA-binding transcription factor activity
TP53,GO:MF,GO:0003700,DNA-binding transcription factor activity
TP53,GO:MF,GO:0003730,mRNA 3'-UTR binding
TP53,GO:MF,GO:0005507,copper ion binding
TP53,GO:MF,GO:0005515,protein binding
TP53,GO:MF,GO:0008270,zinc ion binding
TP53,GO:MF,GO:0019899,enzyme binding
TP53,GO:MF,GO:0030971,receptor tyrosine kinase binding
TP53,GO:MF,GO:0031625,ubiquitin protein ligase binding
TP53,GO:MF,GO:0031625,ubiquitin protein ligase binding
TP53,GO:MF,GO:0031625,ubiquitin protein ligase binding
TP53,GO:MF,GO:0035033,histone deacetylase regulator activity
TP53,GO:MF,GO:0036310,ATP-dependent DNA/DNA annealing activity
TP53,GO:MF,GO:0042802,identical protein binding
TP53,GO:MF,GO:0042826,histone deacetylase binding
TP53,GO:MF,GO:0046872,metal ion binding
TP53,GO:MF,GO:0046982,protein heterodimerization activity
TP53,GO:MF,GO:0051087,protein-folding chaperone binding
TP53,GO:MF,GO:0051721,protein phosphatase 2A binding
TP53,GO:MF,GO:0061629,RNA polymerase II-specific DNA-binding transcription factor binding
TP53,GO:MF,GO:0071889,14-3-3 protein binding
TP53,GO:MF,GO:0097371,MDM2/MDM4 family protein binding
TP53,GO:MF,GO:0097718,disordered domain specific binding
TP53,GO:MF,GO:0140296,general transcription initiation factor binding
TP53,GO:MF,GO:0140677,molecular function activator activity
TP53,GO:MF,GO:0140677,molecular function activator activity
TP53,GO:MF,GO:0140693,molecular condensate scaffold activity
TP53,GO:MF,GO:1990841,promoter-specific chromatin binding
TP53,GO:MF,GO:1990841,promoter-specific chromatin binding
TP53,GO:CC,GO:0000785,chromatin
TP53,GO:CC,GO:0000785,chromatin
TP53,GO:CC,GO:0000785,chromatin
TP53,GO:CC,GO:0000785,chromatin
TP53,GO:CC,GO:0005634,nucleus
TP53,GO:CC,GO:0005634,nucleus
TP53,GO:CC,GO:0005634,nucleus
TP53,GO:CC,GO:0005634,nucleus
TP53,GO:CC,GO:0005634,nucleus
TP53,GO:CC,GO:0005654,nucleoplasm
TP53,GO:CC,GO:0005654,nucleoplasm
TP53,GO:CC,GO:0005657,replication fork
TP53,GO:CC,GO:0005667,transcription regulator complex
TP53,GO:CC,GO:0005730,nucleolus
TP53,GO:CC,GO:0005737,cytoplasm
TP53,GO:CC,GO:0005737,cytoplasm
TP53,GO:CC,GO:0005737,cytoplasm
TP53,GO:CC,GO:0005739,mitochondrion
TP53,GO:CC,GO:0005739,mitochondrion
TP53,GO:CC,GO:0005759,mitochondrial matrix
TP53,GO:CC,GO:0005783,endoplasmic reticulum
TP53,GO:CC,GO:0005813,centrosome
TP53,GO:CC,GO:0005813,centrosome
TP53,GO:CC,GO:0005829,cytosol
TP53,GO:CC,GO:0005829,cytosol
TP53,GO:CC,GO:0005829,cytosol
TP53,GO:CC,GO:0005856,cytoskeleton
TP53,GO:CC,GO:0016363,nuclear matrix
TP53,GO:CC,GO:0016604,nuclear body
TP53,GO:CC,GO:0016605,PML body
TP53,GO:CC,GO:0016605,PML body
TP53,GO:CC,GO:0017053,transcription repressor complex
TP53,GO:CC,GO:0032991,protein-containing complex
TP53,GO:CC,GO:0032991,protein-containing complex
TP53,GO:CC,GO:0035861,site of double-strand break
TP53,GO:CC,GO:0043073,germ cell nucleus
TP53,KEGG,hsa04010,MAPK signaling pathway - Homo sapiens (human)
TP53,KEGG,hsa04071,Sphingolipid signaling pathway - Homo sapiens (human)
TP53,KEGG,hsa04110,Cell cycle - Homo sapiens (human)
TP53,KEGG,hsa04115,p53 signaling pathway - Homo sapiens (human)
TP53,KEGG,hsa04137,Mitophagy - animal - Homo sapiens (human)
TP53,KEGG,hsa04151,PI3K-Akt signaling pathway - Homo sapiens (human)
TP53,KEGG,hsa04210,Apoptosis - Homo sapiens (human)
TP53,KEGG,hsa04211,Longevity regulating pathway - Homo sapiens (human)
TP53,KEGG,hsa04216,Ferroptosis - Homo sapiens (human)
TP53,KEGG,hsa04218,Cellular senescence - Homo sapiens (human)
TP53,KEGG,hsa04310,Wnt signaling pathway - Homo sapiens (human)
TP53,KEGG,hsa04722,Neurotrophin signaling pathway - Homo sapiens (human)
TP53,KEGG,hsa04919,Thyroid hormone signaling pathway - Homo sapiens (human)
TP53,KEGG,hsa05012,Parkinson disease - Homo sapiens (human)
TP53,KEGG,hsa05014,Amyotrophic lateral sclerosis - Homo sapiens (human)
TP53,KEGG,hsa05016,Huntington disease - Homo sapiens (human)
TP53,KEGG,hsa05131,Shigellosis - Homo sapiens (human)
TP53,KEGG,hsa05160,Hepatitis C - Homo sapiens (human)
TP53,KEGG,hsa05161,Hepatitis B - Homo sapiens (human)
TP53,KEGG,hsa05162,Measles - Homo sapiens (human)
TP53,KEGG,hsa05163,Human cytomegalovirus infection - Homo sapiens (human)
TP53,KEGG,hsa05165,Human papillomavirus infection - Homo sapiens (human)
TP53,KEGG,hsa05166,Human T-cell leukemia virus 1 infection - Homo sapiens (human)
TP53,KEGG,hsa05167,Kaposi sarcoma-associated herpesvirus infection - Homo sapiens (human)
TP53,KEGG,hsa05168,Herpes simplex virus 1 infection - Homo sapiens (human)
TP53,KEGG,hsa05169,Epstein-Barr virus infection - Homo sapiens (human)
TP53,KEGG,hsa05200,Pathways in cancer - Homo sapiens (human)
TP53,KEGG,hsa05202,Transcriptional misregulation in cancer - Homo sapiens (human)
TP53,KEGG,hsa05203,Viral carcinogenesis - Homo sapiens (human)
TP53,KEGG,hsa05205,Proteoglycans in cancer - Homo sapiens (human)
TP53,KEGG,hsa05206,MicroRNAs in cancer - Homo sapiens (human)
TP53,KEGG,hsa05210,Colorectal cancer - Homo sapiens (human)
TP53,KEGG,hsa05212,Pancreatic cancer - Homo sapiens (human)
TP53,KEGG,hsa05213,Endometrial cancer - Homo sapiens (human)
TP53,KEGG,hsa05214,Glioma - Homo sapiens (human)
TP53,KEGG,hsa05215,Prostate cancer - Homo sapiens (human)
TP53,KEGG,hsa05216,Thyroid cancer - Homo sapiens (human)
TP53,KEGG,hsa05217,Basal cell carcinoma - Homo sapiens (human)
TP53,KEGG,hsa05218,Melanoma - Homo sapiens (human)
TP53,KEGG,hsa05219,Bladder cancer - Homo sapiens (human)
TP53,KEGG,hsa05220,Chronic myeloid leukemia - Homo sapiens (human)
TP53,KEGG,hsa05222,Small cell lung cancer - Homo sapiens (human)
TP53,KEGG,hsa05223,Non-small cell lung cancer - Homo sapiens (human)
TP53,KEGG,hsa05224,Breast cancer - Homo sapiens (human)
TP53,KEGG,hsa05225,Hepatocellular carcinoma - Homo sapiens (human)
TP53,KEGG,hsa05226,Gastric cancer - Homo sapiens (human)
TP53,KEGG,hsa05230,Central carbon metabolism in cancer - Homo sapiens (human)
TP53,KEGG,hsa05417,Lipid and atherosclerosis - Homo sapiens (human)
TP53,KEGG,hsa05418,Fluid shear stress and atherosclerosis - Homo sapiens (human)
BRCA1,GO:BP,GO:0000724,double-strand break repair via homologous recombination
BRCA1,GO:BP,GO:0000724,double-strand break repair via homologous recombination
BRCA1,GO:BP,GO:0006281,DNA repair
BRCA1,GO:BP,GO:0006281,DNA repair
BRCA1,GO:BP,GO:0006282,regulation of DNA repair
BRCA1,GO:BP,GO:0006301,postreplication repair
BRCA1,GO:BP,GO:0006302,double-strand break repair
BRCA1,GO:BP,GO:0006302,double-strand break repair
BRCA1,GO:BP,GO:0006302,double-strand break repair
BRCA1,GO:BP,GO:0006302,double-strand break repair
BRCA1,GO:BP,GO:0006310,DNA recombination
BRCA1,GO:BP,GO:0006338,chromatin remodeling
BRCA1,GO:BP,GO:0006357,regulation of transcription by RNA polymerase II
BRCA1,GO:BP,GO:0006357,regulation of transcription by RNA polymerase II
BRCA1,GO:BP,GO:0006629,lipid metabolic process
BRCA1,GO:BP,GO:0006631,fatty acid metabolic process
BRCA1,GO:BP,GO:0006633,fatty acid biosynthetic process
BRCA1,GO:BP,GO:0006974,DNA damage response
BRCA1,GO:BP,GO:0006974,DNA damage response
BRCA1,GO:BP,GO:0006974,DNA damage response
BRCA1,GO:BP,GO:0006974,DNA damage response
BRCA1,GO:BP,GO:0007059,chromosome segregation
BRCA1,GO:BP,GO:0007095,mitotic G2 DNA damage checkpoint signaling
BRCA1,GO:BP,GO:0007095,mitotic G2 DNA damage checkpoint signaling
BRCA1,GO:BP,GO:0007098,centrosome cycle
BRCA1,GO:BP,GO:0007549,sex-chromosome dosage compensation
BRCA1,GO:BP,GO:0008630,intrinsic apoptotic signaling pathway in response to DNA damage
BRCA1,GO:BP,GO:0010212,response to ionizing radiation
BRCA1,GO:BP,GO:0010575,positive regulation of vascular endothelial growth factor production
BRCA1,GO:BP,GO:0010628,positive regulation of gene expression
BRCA1,GO:BP,GO:0016567,protein ubiquitination
BRCA1,GO:BP,GO:0016567,protein ubiquitination
BRCA1,GO:BP,GO:0030308,negative regulation of cell growth
BRCA1,GO:BP,GO:0033147,negative regulation of intracellular estrogen receptor signaling pathway
BRCA1,GO:BP,GO:0035825,homologous recombination
BRCA1,GO:BP,GO:0043009,chordate embryonic development
BRCA1,GO:BP,GO:0043009,chordate embryonic development
BRCA1,GO:BP,GO:0044027,negative regulation of gene expression via chromosomal CpG island methylation
BRCA1,GO:BP,GO:0044027,negative regulation of gene expression via chromosomal CpG island methylation
BRCA1,GO:BP,GO:0044818,mitotic G2/M transition checkpoint
BRCA1,GO:BP,GO:0044818,mitotic G2/M transition checkpoint
BRCA1,GO:BP,GO:0045717,negative regulation of fatty acid biosynthetic process
BRCA1,GO:BP,GO:0045739,positive regulation of DNA repair
BRCA1,GO:BP,GO:0045766,positive regulation of angiogenesis
BRCA1,GO:BP,GO:0045786,negative regulation of cell cycle
BRCA1,GO:BP,GO:0045892,negative regulation of DNA-templated transcription
BRCA1,GO:BP,GO:0045893,positive regulation of DNA-templated transcription
BRCA1,GO:BP,GO:0045893,positive regulation of DNA-templated transcription
BRCA1,GO:BP,GO:0045944,positive regulation of transcription by RNA polymerase II
BRCA1,GO:BP,GO:0045944,positive regulation of transcription by RNA polymerase II
BRCA1,GO:BP,GO:0045944,positive regulation of transcription by RNA polymerase II
BRCA1,GO:BP,GO:0045944,positive regulation of transcription by RNA polymerase II
BRCA1,GO:BP,GO:0046600,negative regulation of centriole replication
BRCA1,GO:BP,GO:0051726,regulation of cell cycle
BRCA1,GO:BP,GO:0051865,protein autoubiquitination
BRCA1,GO:BP,GO:0060816,random inactivation of X chromosome
BRCA1,GO:BP,GO:0071356,cellular response to tumor necrosis factor
BRCA1,GO:BP,GO:0071479,cellular response to ionizing radiation
BRCA1,GO:BP,GO:0071681,cellular response to indole-3-methanol
BRCA1,GO:BP,GO:0085020,protein K6-linked ubiquitination
BRCA1,GO:BP,GO:0110025,DNA strand resection involved in replication fork processing
BRCA1,GO:BP,GO:1902042,negative regulation of extrinsic apoptotic signaling pathway via death domain receptors
BRCA1,GO:BP,GO:2000001,regulation of DNA damage checkpoint
BRCA1,GO:BP,GO:2000378,negative regulation of reactive oxygen species metabolic process
BRCA1,GO:MF,GO:0000976,transcription cis-regulatory region binding
BRCA1,GO:MF,GO:0000976,transcription cis-regulatory region binding
BRCA1,GO:MF,GO:0002039,p53 binding
BRCA1,GO:MF,GO:0003677,DNA binding
BRCA1,GO:MF,GO:0003677,DNA binding
BRCA1,GO:MF,GO:0003684,damaged DNA binding
BRCA1,GO:MF,GO:0003713,transcription coactivator activity
BRCA1,GO:MF,GO:0003713,transcription coactivator activity
BRCA1,GO:MF,GO:0003713,transcription coactivator activity
BRCA1,GO:MF,GO:0003723,RNA binding
BRCA1,GO:MF,GO:0004842,ubiquitin-protein transferase activity
BRCA1,GO:MF,GO:0004842,ubiquitin-protein transferase activity
BRCA1,GO:MF,GO:0004842,ubiquitin-protein transferase activity
BRCA1,GO:MF,GO:0004842,ubiquitin-protein transferase activity
BRCA1,GO:MF,GO:0005515,protein binding
BRCA1,GO:MF,GO:0008270,zinc ion binding
BRCA1,GO:MF,GO:0008270,zinc ion binding
BRCA1,GO:MF,GO:0015631,tubulin binding
BRCA1,GO:MF,GO:0016740,transferase activity
BRCA1,GO:MF,GO:0019899,enzyme binding
BRCA1,GO:MF,GO:0031625,ubiquitin protein ligase binding
BRCA1,GO:MF,GO:0042802,identical protein binding
BRCA1,GO:MF,GO:0046872,metal ion binding
BRCA1,GO:MF,GO:0061630,ubiquitin protein ligase activity
BRCA1,GO:MF,GO:0061649,ubiquitin-modified histone reader activity
BRCA1,GO:MF,GO:0070063,RNA polymerase binding
BRCA1,GO:MF,GO:0140863,histone H2AK127 ubiquitin ligase activity
BRCA1,GO:MF,GO:0140864,histone H2AK129 ubiquitin ligase activity
BRCA1,GO:CC,GO:0000151,ubiquitin ligase complex
BRCA1,GO:CC,GO:0000152,nuclear ubiquitin ligase complex
BRCA1,GO:CC,GO:0000793,condensed chromosome
BRCA1,GO:CC,GO:0000794,condensed nuclear chromosome
BRCA1,GO:CC,GO:0000800,lateral element
