db,native,term_name,pvalue,significant,description,term_size,query_size,overlap,effective_domain_size,precision,recall,query,parents,term_id,fdr,intersection_genes
GO:BP,GO:0010604,positive regulation of macromolecule metabolic process,1.005155174780518e-05,True,"""Any process that increases the frequency, rate or extent of the chemical reactions and pathways involving macromolecules, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."" [GOC:dph, GOC:tb]",3288,10,10,21026,1.0,0.0030413625304136255,query_1,"['GO:0009893', 'GO:0043170', 'GO:0060255']",GO:0010604,,
GO:BP,GO:1902806,regulation of cell cycle G1/S phase transition,1.0995983018950566e-05,True,"""Any signaling pathway that modulates the activity of a cell cycle cyclin-dependent protein kinase to modulate the switch from G1 phase to S phase of the cell cycle."" [GO_REF:0000058, GOC:mtg_cell_cycle, GOC:TermGenie]",176,10,5,21026,0.5,0.028409090909090908,query_1,"['GO:0044843', 'GO:1901987']",GO:1902806,,
GO:BP,GO:0016310,phosphorylation,1.1041663923007998e-05,True,"""The process of introducing a phosphate group into a molecule, usually with the formation of a phosphoric ester, a phosphoric anhydride or a phosphoric amide."" [ISBN:0198506732]",1320,10,8,21026,0.8,0.006060606060606061,query_1,['GO:0006796'],GO:0016310,,
GO:BP,GO:0001558,regulation of cell growth,1.1428074464536362e-05,True,"""Any process that modulates the frequency, rate, extent or direction of cell growth."" [GOC:go_curators]",406,10,6,21026,0.6,0.014778325123152709,query_1,"['GO:0016049', 'GO:0040008', 'GO:0051128']",GO:0001558,,
GO:BP,GO:0001932,regulation of protein phosphorylation,1.1811466499250605e-05,True,"""Any process that modulates the frequency, rate or extent of addition of phosphate groups into an amino acid in a protein."" [GOC:hjd]",779,10,7,21026,0.7,0.008985879332477536,query_1,"['GO:0006468', 'GO:0031399', 'GO:0042325']",GO:0001932,,
KEGG,KEGG:04068,FoxO signaling pathway,1.181667677486292e-05,True,FoxO signaling pathway,131,10,5,8484,0.5,0.03816793893129771,query_1,['KEGG:00000'],KEGG:04068,,
GO:BP,GO:0006355,regulation of DNA-templated transcription,1.4434322614395135e-05,True,"""Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."" [GOC:go_curators, GOC:txnOH]",3409,10,10,21026,1.0,0.002933411557641537,query_1,"['GO:0006351', 'GO:0010468', 'GO:2001141']",GO:0006355,,
GO:BP,GO:0070887,cellular response to chemical stimulus,1.5108978981078402e-05,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a chemical stimulus."" [GOC:mah]",2192,10,9,21026,0.9,0.004105839416058394,query_1,"['GO:0042221', 'GO:0051716']",GO:0070887,,
GO:BP,GO:2001141,regulation of RNA biosynthetic process,1.5260415616683453e-05,True,"""Any process that modulates the frequency, rate or extent of RNA biosynthetic process."" [GOC:dph]",3428,10,10,21026,1.0,0.0029171528588098016,query_1,"['GO:0010556', 'GO:0032774', 'GO:0051252']",GO:2001141,,
GO:BP,GO:1901987,regulation of cell cycle phase transition,1.544076722771608e-05,True,"""Any process that modulates the frequency, rate or extent of cell cycle phase transition."" [GOC:mtg_cell_cycle, GOC:TermGenie, PMID:22841721]",427,10,6,21026,0.6,0.01405152224824356,query_1,"['GO:0010564', 'GO:0044770']",GO:1901987,,
GO:BP,GO:0080134,regulation of response to stress,1.632652499181064e-05,True,"""Any process that modulates the frequency, rate or extent of a response to stress. Response to stress is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a disturbance in organismal or cellular homeostasis, usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:dhl]",1387,10,8,21026,0.8,0.005767844268204758,query_1,"['GO:0006950', 'GO:0048583']",GO:0080134,,
REAC,REAC:R-HSA-9006925,Intracellular signaling by second messengers,1.750317460384355e-05,True,Intracellular signaling by second messengers,292,10,6,11004,0.6,0.02054794520547945,query_1,['REAC:R-HSA-162582'],REAC:R-HSA-9006925,,
GO:BP,GO:0042325,regulation of phosphorylation,1.8321184456630034e-05,True,"""Any process that modulates the frequency, rate or extent of addition of phosphate groups into a molecule."" [GOC:jl]",830,10,7,21026,0.7,0.008433734939759036,query_1,"['GO:0016310', 'GO:0019220']",GO:0042325,,
REAC,REAC:R-HSA-6807070,PTEN Regulation,1.899045369744331e-05,True,PTEN Regulation,138,10,5,11004,0.5,0.036231884057971016,query_1,['REAC:R-HSA-1257604'],REAC:R-HSA-6807070,,
GO:BP,GO:2000026,regulation of multicellular organismal development,1.9439053836182645e-05,True,"""Any process that modulates the frequency, rate or extent of multicellular organismal development."" [GOC:obol]",1418,10,8,21026,0.8,0.005641748942172073,query_1,"['GO:0007275', 'GO:0050793', 'GO:0051239']",GO:2000026,,
GO:BP,GO:0060284,regulation of cell development,2.107940982531344e-05,True,"""Any process that modulates the rate, frequency or extent of the progression of the cell over time, from its formation to the mature structure. Cell development does not include the steps involved in committing a cell to a specific fate."" [GOC:dph, GOC:tb]",847,10,7,21026,0.7,0.008264462809917356,query_1,"['GO:0045595', 'GO:0048468']",GO:0060284,,
GO:BP,GO:0006351,DNA-templated transcription,2.1597970775790514e-05,True,"""The synthesis of an RNA transcript from a DNA template."" [GOC:jl, GOC:txnOH]",3549,10,10,21026,1.0,0.002817695125387433,query_1,"['GO:0010467', 'GO:0032774']",GO:0006351,,
KEGG,KEGG:04010,MAPK signaling pathway,2.169014957168184e-05,True,MAPK signaling pathway,301,10,6,8484,0.6,0.019933554817275746,query_1,['KEGG:00000'],KEGG:04010,,
GO:BP,GO:0051960,regulation of nervous system development,2.3144483336750015e-05,True,"""Any process that modulates the frequency, rate or extent of nervous system development, the origin and formation of nervous tissue."" [GOC:ai]",457,10,6,21026,0.6,0.01312910284463895,query_1,"['GO:0007399', 'GO:2000026']",GO:0051960,,
GO:BP,GO:0009893,positive regulation of metabolic process,2.470762198559397e-05,True,"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism."" [GOC:go_curators]",3597,10,10,21026,1.0,0.0027800945232137894,query_1,"['GO:0008152', 'GO:0019222', 'GO:0048522']",GO:0009893,,
GO:BP,GO:0048584,positive regulation of response to stimulus,2.612859053157276e-05,True,"""Any process that activates, maintains or increases the rate of a response to a stimulus. Response to stimulus is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus."" [GOC:jid]",2331,10,9,21026,0.9,0.003861003861003861,query_1,"['GO:0048518', 'GO:0048583', 'GO:0050896']",GO:0048584,,
GO:BP,GO:0043066,negative regulation of apoptotic process,2.6186191589683185e-05,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of cell death by apoptotic process."" [GOC:jl, GOC:mtg_apoptosis]",874,10,7,21026,0.7,0.008009153318077803,query_1,"['GO:0006915', 'GO:0042981', 'GO:0043069']",GO:0043066,,
GO:BP,GO:0009719,response to endogenous stimulus,2.8579694045874688e-05,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus arising within the organism."" [GOC:sm]",1489,10,8,21026,0.8,0.005372733378106112,query_1,['GO:0050896'],GO:0009719,,
